Package,Class,Method,Parameters,Cyclomatic Complexity
org.apache.commons.cli,Builder,setStripLeadingAndTrailingQuotes,"Boolean",1
org.apache.commons.cli,DeprecatedAttributes,builder,"",1
org.apache.commons.cli,DeprecatedAttributes,getDescription,"",1
org.apache.commons.cli,DeprecatedAttributes,getSince,"",1
org.apache.commons.cli,DeprecatedAttributes,isForRemoval,"",1
org.apache.commons.cli,DeprecatedAttributes,toString,"",4
org.apache.commons.cli,Builder,get,"",1
org.apache.commons.cli,Builder,setDescription,"String",1
org.apache.commons.cli,Builder,setForRemoval,"boolean",1
org.apache.commons.cli,Builder,setSince,"String",1
org.apache.commons.cli.help,AbstractHelpFormatter,getOptionFormatter,"Option",1
org.apache.commons.cli.help,AbstractHelpFormatter,getSerializer,"",1
org.apache.commons.cli.help,AbstractHelpFormatter,getSyntaxPrefix,"",1
org.apache.commons.cli.help,AbstractHelpFormatter,printHelp,"String, String, Iterable<Option>, String, boolean",5
org.apache.commons.cli.help,AbstractHelpFormatter,printHelp,"String, String, Options, String, boolean",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"Iterable<Option>",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"Options",1
org.apache.commons.cli.help,AbstractHelpFormatter,printOptions,"TableDefinition",1
org.apache.commons.cli.help,AbstractHelpFormatter,setSyntaxPrefix,"String",1
org.apache.commons.cli.help,AbstractHelpFormatter,sort,"Iterable<Option>",2
org.apache.commons.cli.help,AbstractHelpFormatter,sort,"Options",1
org.apache.commons.cli.help,AbstractHelpFormatter,toArgName,"String",1
org.apache.commons.cli.help,AbstractHelpFormatter,toSyntaxOptions,"Iterable<Option>",1
org.apache.commons.cli.help,AbstractHelpFormatter,toSyntaxOptions,"OptionGroup",4
org.apache.commons.cli.help,AbstractHelpFormatter,toSyntaxOptions,"Options",1
org.apache.commons.cli.help,Builder,setComparator,"Comparator<Option>",1
org.apache.commons.cli.help,Builder,setHelpAppendable,"HelpAppendable",1
org.apache.commons.cli.help,Builder,setOptionFormatBuilder,"OptionFormatter.Builder",1
org.apache.commons.cli.help,Builder,setOptionGroupSeparator,"String",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"char",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"CharSequence",1
org.apache.commons.cli.help,FilterHelpAppendable,append,"CharSequence, int, int",1
org.apache.commons.cli.help,HelpFormatter,builder,"",1
org.apache.commons.cli.help,HelpFormatter,getTableDefinition,"Iterable<Option>",4
org.apache.commons.cli.help,Builder,get,"",1
org.apache.commons.cli.help,Builder,setShowSince,"boolean",1
org.apache.commons.cli.help,OptionFormatter,builder,"",1
org.apache.commons.cli.help,OptionFormatter,from,"Option",1
org.apache.commons.cli.help,OptionFormatter,getArgName,"",1
org.apache.commons.cli.help,OptionFormatter,getBothOpt,"",3
org.apache.commons.cli.help,OptionFormatter,getDescription,"",1
org.apache.commons.cli.help,OptionFormatter,getLongOpt,"",1
org.apache.commons.cli.help,OptionFormatter,getOpt,"",1
org.apache.commons.cli.help,OptionFormatter,getSince,"",1
org.apache.commons.cli.help,OptionFormatter,isRequired,"",1
org.apache.commons.cli.help,OptionFormatter,toOptional,"String",2
org.apache.commons.cli.help,OptionFormatter,toSyntaxOption,"",1
org.apache.commons.cli.help,OptionFormatter,toSyntaxOption,"boolean",1
org.apache.commons.cli.help,Builder,build,"Option",1
org.apache.commons.cli.help,Builder,get,"",1
org.apache.commons.cli.help,Builder,setArgumentNameDelimiters,"String, String",1
org.apache.commons.cli.help,Builder,setDefaultArgName,"String",1
org.apache.commons.cli.help,Builder,setDeprecatedFormatFunction,"Function<Option,String>",1
org.apache.commons.cli.help,Builder,setLongOptPrefix,"String",1
org.apache.commons.cli.help,Builder,setOptArgSeparator,"String",1
org.apache.commons.cli.help,Builder,setOptionalDelimiters,"String, String",1
org.apache.commons.cli.help,Builder,setOptPrefix,"String",1
org.apache.commons.cli.help,Builder,setOptSeparator,"String",1
org.apache.commons.cli.help,Builder,setSyntaxFormatFunction,"BiFunction<OptionFormatter,Boolean,String>",1
org.apache.commons.cli.help,Builder,toArgName,"String",1
org.apache.commons.cli.help,TextHelpAppendable,indexOfWrap,"CharSequence, int, int",7
org.apache.commons.cli.help,TextHelpAppendable,appendHeader,"int, CharSequence",3
org.apache.commons.cli.help,TextHelpAppendable,appendList,"boolean, Collection<CharSequence>",3
org.apache.commons.cli.help,TextHelpAppendable,appendParagraph,"CharSequence",2
org.apache.commons.cli.help,TextHelpAppendable,appendTable,"TableDefinition",1
org.apache.commons.cli.help,TextHelpAppendable,appendTitle,"CharSequence",2
org.apache.commons.cli.help,TextHelpAppendable,getIndent,"",1
org.apache.commons.cli.help,TextHelpAppendable,getLeftPad,"",1
org.apache.commons.cli.help,TextHelpAppendable,getMaxWidth,"",1
org.apache.commons.cli.help,TextHelpAppendable,getTextStyleBuilder,"",1
org.apache.commons.cli.help,TextHelpAppendable,printWrapped,"String",1
org.apache.commons.cli.help,TextHelpAppendable,printWrapped,"String, TextStyle",1
org.apache.commons.cli.help,TextHelpAppendable,setIndent,"int",1
org.apache.commons.cli.help,TextHelpAppendable,setLeftPad,"int",1
org.apache.commons.cli.help,TextHelpAppendable,setMaxWidth,"int",1
org.apache.commons.cli.help,TextStyle,builder,"",1
org.apache.commons.cli.help,TextStyle,getAlignment,"",1
org.apache.commons.cli.help,TextStyle,getIndent,"",1
org.apache.commons.cli.help,TextStyle,getLeftPad,"",1
org.apache.commons.cli.help,TextStyle,getMaxWidth,"",1
org.apache.commons.cli.help,TextStyle,getMinWidth,"",1
org.apache.commons.cli.help,TextStyle,isScalable,"",1
org.apache.commons.cli.help,TextStyle,pad,"boolean, CharSequence",11
org.apache.commons.cli.help,TextStyle,toString,"",1
org.apache.commons.cli.help,Builder,get,"",1
org.apache.commons.cli.help,Builder,getIndent,"",1
org.apache.commons.cli.help,Builder,getLeftPad,"",1
org.apache.commons.cli.help,Builder,getMaxWidth,"",1
org.apache.commons.cli.help,Builder,getMinWidth,"",1
org.apache.commons.cli.help,Builder,isScalable,"",1
org.apache.commons.cli.help,Builder,setAlignment,"Alignment",1
org.apache.commons.cli.help,Builder,setIndent,"int",1
org.apache.commons.cli.help,Builder,setLeftPad,"int",1
org.apache.commons.cli.help,Builder,setMaxWidth,"int",1
org.apache.commons.cli.help,Builder,setMinWidth,"int",1
org.apache.commons.cli.help,Builder,setScalable,"boolean",1
org.apache.commons.cli.help,Builder,setTextStyle,"TextStyle",1
org.apache.commons.cli,HelpFormatter,builder,"",1
org.apache.commons.cli,HelpFormatter,getDescription,"Option",1
org.apache.commons.cli,HelpFormatter,getArgName,"",1
org.apache.commons.cli,HelpFormatter,getDescPadding,"",1
org.apache.commons.cli,HelpFormatter,getLeftPadding,"",1
org.apache.commons.cli,HelpFormatter,getLongOptPrefix,"",1
org.apache.commons.cli,HelpFormatter,getLongOptSeparator,"",1
org.apache.commons.cli,HelpFormatter,getNewLine,"",1
org.apache.commons.cli,HelpFormatter,getOptionComparator,"",1
org.apache.commons.cli,HelpFormatter,getOptPrefix,"",1
org.apache.commons.cli,HelpFormatter,getSyntaxPrefix,"",1
org.apache.commons.cli,HelpFormatter,getWidth,"",1
org.apache.commons.cli,HelpFormatter,printHelp,"int, String, String, Options, String",1
org.apache.commons.cli,HelpFormatter,printHelp,"int, String, String, Options, String, boolean",1
org.apache.commons.cli,HelpFormatter,printHelp,"PrintWriter, int, String, String, Options, int, int, String",1
org.apache.commons.cli,HelpFormatter,printHelp,"PrintWriter, int, String, String, Options, int, int, String, boolean",7
org.apache.commons.cli,HelpFormatter,printHelp,"String, Options",1
org.apache.commons.cli,HelpFormatter,printHelp,"String, Options, boolean",1
org.apache.commons.cli,HelpFormatter,printHelp,"String, String, Options, String",1
org.apache.commons.cli,HelpFormatter,printHelp,"String, String, Options, String, boolean",1
org.apache.commons.cli,HelpFormatter,printOptions,"PrintWriter, int, Options, int, int",2
org.apache.commons.cli,HelpFormatter,printUsage,"PrintWriter, int, String",1
org.apache.commons.cli,HelpFormatter,printUsage,"PrintWriter, int, String, Options",6
org.apache.commons.cli,HelpFormatter,printWrapped,"PrintWriter, int, int, String",1
org.apache.commons.cli,HelpFormatter,printWrapped,"PrintWriter, int, String",1
org.apache.commons.cli,HelpFormatter,setArgName,"String",1
org.apache.commons.cli,HelpFormatter,setDescPadding,"int",1
org.apache.commons.cli,HelpFormatter,setLeftPadding,"int",1
org.apache.commons.cli,HelpFormatter,setLongOptPrefix,"String",1
org.apache.commons.cli,HelpFormatter,setLongOptSeparator,"String",1
org.apache.commons.cli,HelpFormatter,setNewLine,"String",1
org.apache.commons.cli,HelpFormatter,setOptionComparator,"Comparator<Option>",1
org.apache.commons.cli,HelpFormatter,setOptPrefix,"String",1
org.apache.commons.cli,HelpFormatter,setSyntaxPrefix,"String",1
org.apache.commons.cli,HelpFormatter,setWidth,"int",1
org.apache.commons.cli,Builder,get,"",1
org.apache.commons.cli,Builder,setPrintWriter,"PrintWriter",1
org.apache.commons.cli,Builder,setShowDeprecated,"boolean",1
org.apache.commons.cli,Builder,setShowDeprecated,"Function<Option,String>",1
org.apache.commons.cli,Builder,setShowSince,"boolean",1
org.apache.commons.cli,MissingArgumentException,getOption,"",1
org.apache.commons.cli,MissingOptionException,getMissingOptions,"",1
org.apache.commons.cli,Option,builder,"",1
org.apache.commons.cli,Option,builder,"String",1
org.apache.commons.cli,Option,addValue,"String",1
org.apache.commons.cli,Option,clone,"",2
org.apache.commons.cli,Option,equals,"Object",4
org.apache.commons.cli,Option,getArgName,"",1
org.apache.commons.cli,Option,getArgs,"",1
org.apache.commons.cli,Option,getConverter,"",1
org.apache.commons.cli,Option,getDeprecated,"",1
org.apache.commons.cli,Option,getDescription,"",1
org.apache.commons.cli,Option,getId,"",1
org.apache.commons.cli,Option,getKey,"",1
org.apache.commons.cli,Option,getLongOpt,"",1
org.apache.commons.cli,Option,getOpt,"",1
org.apache.commons.cli,Option,getSince,"",1
org.apache.commons.cli,Option,getType,"",1
org.apache.commons.cli,Option,getValue,"",1
org.apache.commons.cli,Option,getValue,"int",1
org.apache.commons.cli,Option,getValue,"String",1
org.apache.commons.cli,Option,getValues,"",1
org.apache.commons.cli,Option,getValueSeparator,"",1
org.apache.commons.cli,Option,getValuesList,"",1
org.apache.commons.cli,Option,hasArg,"",2
org.apache.commons.cli,Option,hasArgName,"",2
org.apache.commons.cli,Option,hasArgs,"",2
org.apache.commons.cli,Option,hashCode,"",1
org.apache.commons.cli,Option,hasLongOpt,"",1
org.apache.commons.cli,Option,hasOptionalArg,"",1
org.apache.commons.cli,Option,hasValueSeparator,"",1
org.apache.commons.cli,Option,isDeprecated,"",1
org.apache.commons.cli,Option,isRequired,"",1
org.apache.commons.cli,Option,setArgName,"String",1
org.apache.commons.cli,Option,setArgs,"int",1
org.apache.commons.cli,Option,setConverter,"Converter<?,?>",1
org.apache.commons.cli,Option,setDescription,"String",1
org.apache.commons.cli,Option,setLongOpt,"String",1
org.apache.commons.cli,Option,setOptionalArg,"boolean",1
org.apache.commons.cli,Option,setRequired,"boolean",1
org.apache.commons.cli,Option,setType,"Class<?>",1
org.apache.commons.cli,Option,setType,"Object",1
org.apache.commons.cli,Option,setValueSeparator,"char",1
org.apache.commons.cli,Option,toString,"",5
org.apache.commons.cli,Builder,argName,"String",1
org.apache.commons.cli,Builder,build,"",3
org.apache.commons.cli,Builder,converter,"Converter<?,?>",1
org.apache.commons.cli,Builder,deprecated,"",1
org.apache.commons.cli,Builder,deprecated,"DeprecatedAttributes",1
org.apache.commons.cli,Builder,desc,"String",1
org.apache.commons.cli,Builder,hasArg,"",1
org.apache.commons.cli,Builder,hasArg,"boolean",1
org.apache.commons.cli,Builder,hasArgs,"",1
org.apache.commons.cli,Builder,longOpt,"String",1
org.apache.commons.cli,Builder,numberOfArgs,"int",1
org.apache.commons.cli,Builder,option,"String",1
org.apache.commons.cli,Builder,optionalArg,"boolean",3
org.apache.commons.cli,Builder,required,"",1
org.apache.commons.cli,Builder,required,"boolean",1
org.apache.commons.cli,Builder,since,"String",1
org.apache.commons.cli,Builder,type,"Class<?>",1
org.apache.commons.cli,Builder,valueSeparator,"",1
org.apache.commons.cli,Builder,valueSeparator,"char",1
org.apache.commons.cli,OptionBuilder,create,"",2
org.apache.commons.cli,OptionBuilder,create,"char",1
org.apache.commons.cli,OptionBuilder,create,"String",1
org.apache.commons.cli,OptionBuilder,hasArg,"",1
org.apache.commons.cli,OptionBuilder,hasArg,"boolean",1
org.apache.commons.cli,OptionBuilder,hasArgs,"",1
org.apache.commons.cli,OptionBuilder,hasArgs,"int",1
org.apache.commons.cli,OptionBuilder,hasOptionalArg,"",1
org.apache.commons.cli,OptionBuilder,hasOptionalArgs,"",1
org.apache.commons.cli,OptionBuilder,hasOptionalArgs,"int",1
org.apache.commons.cli,OptionBuilder,isRequired,"",1
org.apache.commons.cli,OptionBuilder,isRequired,"boolean",1
org.apache.commons.cli,OptionBuilder,withArgName,"String",1
org.apache.commons.cli,OptionBuilder,withDescription,"String",1
org.apache.commons.cli,OptionBuilder,withLongOpt,"String",1
org.apache.commons.cli,OptionBuilder,withType,"Class<?>",1
org.apache.commons.cli,OptionBuilder,withType,"Object",1
org.apache.commons.cli,OptionBuilder,withValueSeparator,"",1
org.apache.commons.cli,OptionBuilder,withValueSeparator,"char",1
org.apache.commons.cli,OptionGroup,addOption,"Option",1
org.apache.commons.cli,OptionGroup,getNames,"",1
org.apache.commons.cli,OptionGroup,getOptions,"",1
org.apache.commons.cli,OptionGroup,getSelected,"",1
org.apache.commons.cli,OptionGroup,isRequired,"",1
org.apache.commons.cli,OptionGroup,isSelected,"",1
org.apache.commons.cli,OptionGroup,setRequired,"boolean",1
org.apache.commons.cli,OptionGroup,setSelected,"Option",4
org.apache.commons.cli,OptionGroup,toString,"",5
org.apache.commons.cli,Options,addOption,"Option",4
org.apache.commons.cli,Options,addOption,"String, boolean, String",1
org.apache.commons.cli,Options,addOption,"String, String",1
org.apache.commons.cli,Options,addOption,"String, String, boolean, String",1
org.apache.commons.cli,Options,addOptionGroup,"OptionGroup",2
org.apache.commons.cli,Options,addOptions,"Options",2
org.apache.commons.cli,Options,addRequiredOption,"String, String, boolean, String",1
org.apache.commons.cli,Options,getMatchingOptions,"String",3
org.apache.commons.cli,Options,getOption,"String",1
org.apache.commons.cli,Options,getOptionGroup,"Option",1
org.apache.commons.cli,Options,getOptions,"",1
org.apache.commons.cli,Options,getRequiredOptions,"",1
org.apache.commons.cli,Options,hasLongOption,"String",1
org.apache.commons.cli,Options,hasOption,"String",2
org.apache.commons.cli,Options,hasShortOption,"String",1
org.apache.commons.cli,Options,toString,"",1
org.apache.commons.cli,ParseException,wrap,"Throwable",3
org.apache.commons.cli,Parser,parse,"Options, String[]",1
org.apache.commons.cli,Parser,parse,"Options, String[], boolean",1
org.apache.commons.cli,Parser,parse,"Options, String[], Properties",1
org.apache.commons.cli,Parser,parse,"Options, String[], Properties, boolean",13
org.apache.commons.cli,Parser,processArgs,"Option, ListIterator<String>",7
org.apache.commons.cli,PatternOptionBuilder,getValueClass,"char",1
org.apache.commons.cli,PatternOptionBuilder,getValueType,"char",10
org.apache.commons.cli,PatternOptionBuilder,isValueCode,"char",10
org.apache.commons.cli,PatternOptionBuilder,parsePattern,"String",6
org.apache.commons.cli,TypeHandler,createClass,"String",1
org.apache.commons.cli,TypeHandler,createDate,"String",1
org.apache.commons.cli,TypeHandler,createDefaultMap,"",1
org.apache.commons.cli,TypeHandler,createFile,"String",1
org.apache.commons.cli,TypeHandler,createFiles,"String",1
org.apache.commons.cli,TypeHandler,createNumber,"String",1
org.apache.commons.cli,TypeHandler,createObject,"String",1
org.apache.commons.cli,TypeHandler,createURL,"String",1
org.apache.commons.cli,TypeHandler,createValue,"String, Class<T>",2
org.apache.commons.cli,TypeHandler,createValue,"String, Object",1
org.apache.commons.cli,TypeHandler,getDefault,"",1
org.apache.commons.cli,TypeHandler,openFile,"String",1
org.apache.commons.cli,TypeHandler,getConverter,"Class<T>",1
org.apache.commons.cli,UnrecognizedOptionException,getOption,"",1
